mg_feature,n_metabolites,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
Microbacterium paraoxydans,1,1,0.0104968789964914,0.0104968789964914,0.4999601979521784,0.4999601979521784
Fluviicola taffensis,1,1,0.0070405439787071,0.0070405439787071,0.4992805814239839,0.4992805814239839
Phycicoccus dokdonensis,1,1,0.006064971811695,0.006064971811695,0.4985736887999795,0.4985736887999795
Lactobacillus fermentum,1,1,0.0050940914079546,0.0050940914079546,0.4985477877337054,0.4985477877337054
Hymenobacter sp. sh-6,1,1,0.0196984447538852,0.0196984447538852,0.4949173653329403,0.4949173653329403
Sulfuritalea hydrogenivorans,1,1,0.0113541707164002,0.0113541707164002,0.4934108846500153,0.4934108846500153
Streptomyces vietnamensis,1,1,0.0067941890736466,0.0067941890736466,0.4921350929363108,0.4921350929363108
Mobiluncus curtisii,1,1,0.0164007553788334,0.0164007553788334,0.4918470993561827,0.4918470993561827
Bradyrhizobium sp. BTAi1,1,1,0.0118959853662803,0.0118959853662803,0.4906971966540021,0.4906971966540021
Citrobacter freundii complex sp. CFNIH2,1,1,0.0158842946542972,0.0158842946542972,0.4906385357420825,0.4906385357420825
Mycobacterium avium,1,1,0.0124941004440266,0.0124941004440266,0.4905880299016822,0.4905880299016822
Acidihalobacter ferrooxidans,1,1,0.0126011064276099,0.0126011064276099,0.4896280908107075,0.4896280908107075
Frankia inefficax,1,1,0.0058417707498775,0.0058417707498775,0.4893608775440252,0.4893608775440252
Actinoplanes friuliensis,1,1,0.0441913455724716,0.0441913455724716,0.4893455667449098,0.4893455667449098
Thauera sp. MZ1T,1,1,0.0163117490428898,0.0163117490428898,0.4875490148320659,0.4875490148320659
Actinoplanes sp. N902-109,1,1,0.0053999745168565,0.0053999745168565,0.4866259633281299,0.4866259633281299
Aeromicrobium sp. 592,1,1,0.0205031167715787,0.0205031167715787,0.4853584551854735,0.4853584551854735
Rhodococcus sp. YL-1,1,1,0.0183082204312086,0.0183082204312086,0.4849768497211104,0.4849768497211104
Thauera chlorobenzoica,1,1,0.0129149106677122,0.0129149106677122,0.4832281578201151,0.4832281578201151
Pseudomonas prosekii,1,1,0.0097864354029297,0.0097864354029297,0.4827115030382045,0.4827115030382045
Pantoea agglomerans,1,1,0.0169886005582699,0.0169886005582699,0.4804611230531239,0.4804611230531239
Nitrobacter hamburgensis,1,1,0.0121526100670159,0.0121526100670159,0.4802956368784961,0.4802956368784961
Acidothermus cellulolyticus,1,1,0.0087613702951429,0.0087613702951429,0.4795634750150244,0.4795634750150244
Methylomonas koyamae,1,1,0.0066490997638326,0.0066490997638326,0.4776489492185674,0.4776489492185674
Frankia alni,1,1,0.0086615053178199,0.0086615053178199,0.4758057470123728,0.4758057470123728
Rhizobium favelukesii,1,1,0.0165897662060492,0.0165897662060492,0.4748480839061456,0.4748480839061456
Pseudomonas azotoformans,1,1,0.0220171678811311,0.0220171678811311,0.4725167818386439,0.4725167818386439
Micrococcus luteus,1,1,0.0177591349929571,0.0177591349929571,0.4716653610345194,0.4716653610345194
Rhizobium gallicum,1,1,0.0126218013530095,0.0126218013530095,0.4701228223931246,0.4701228223931246
Actinopolymorpha singaporensis,1,1,0.0069951456487727,0.0069951456487727,0.4698747962247935,0.4698747962247935
Microterricola viridarii,1,1,0.0074095926247537,0.0074095926247537,0.469569752144805,0.469569752144805
Saccharomonospora marina,1,1,0.0087794998123529,0.0087794998123529,0.4670090865059318,0.4670090865059318
Pseudomonas fulva,1,1,0.0054476618215577,0.0054476618215577,0.4659164426252721,0.4659164426252721
Opitutaceae bacterium TAV5,1,1,0.024671871215105,0.024671871215105,0.4653932176750277,0.4653932176750277
Pseudomonas sp. R4-39-08,1,1,0.0061852992512285,0.0061852992512285,0.4650893016267117,0.4650893016267117
Singulisphaera acidiphila,1,1,0.0319820566182942,0.0319820566182942,0.462910790684543,0.462910790684543
Pseudomonas sp. NC02,1,1,0.0070295998939174,0.0070295998939174,0.4620768063868382,0.4620768063868382
Pseudomonas lurida,1,1,0.0093213716554936,0.0093213716554936,0.4617327172900471,0.4617327172900471
Halalkalicoccus jeotgali,1,1,0.0086070951074361,0.0086070951074361,0.4593525347626359,0.4593525347626359
Hymenobacter sp. APR13,1,1,0.0151194492354989,0.0151194492354989,0.4590578032676827,0.4590578032676827
Cupriavidus sp. USMAHM13,1,1,0.0088335417019358,0.0088335417019358,0.4589149188919164,0.4589149188919164
Microbacterium hominis,1,1,0.0077801258303225,0.0077801258303225,0.458428904428479,0.458428904428479
Rhizobium phage RHEph10,1,1,0.0067667296030225,0.0067667296030225,0.4583268754188647,0.4583268754188647
Wolbachia endosymbiont of Drosophila melanogaster,1,1,0.0098898385602628,0.0098898385602628,0.4582048851706448,0.4582048851706448
Bradyrhizobium sp. WSM471,1,1,0.0177550241351127,0.0177550241351127,0.4571841268526952,0.4571841268526952
Celeribacter manganoxidans,1,1,0.0156118338927626,0.0156118338927626,0.4561379293626307,0.4561379293626307
Burkholderia pseudomallei,1,1,0.0469798445701599,0.0469798445701599,0.4548942812225698,0.4548942812225698
