mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Sanguibacter keddieii,2,0.0038695860694500186,0.0041031442647854474,0.4840041949817748
Microlunatus soli,2,0.0038838678485293996,0.003913120605157905,0.49414031146081516
Rhodococcus qingshengii,2,0.0035890630919630595,0.0036872562979675446,0.5327573220904381
Desulfocapsa sulfexigens,2,0.003332062231441918,0.003461395799869072,0.6262637474216707
Streptomyces sp. CLI2509,2,0.0031808195484756717,0.0032494007642582413,0.5480525708381325
Streptomyces sviceus,1,0.05176599696278572,0.05176599696278572,0.08529031288161079
Agrobacterium fabrum,1,0.049177564680576324,0.049177564680576324,0.4337144585978474
Burkholderia pseudomallei,1,0.04697984457015991,0.04697984457015991,0.4548942812225698
Mycobacterium kansasii,1,0.04553844407200813,0.04553844407200813,0.5830345750928223
Pseudomonas sp. LH1G9,1,0.04486841962932256,0.04486841962932256,0.5216939747395045
Agromyces flavus,1,0.041216880083084106,0.041216880083084106,0.055495526702053884
Frondihabitans sp. PAMC 28766,1,0.03998063036624765,0.03998063036624765,0.527917861132784
Pseudomonas alcaliphila,1,0.03802510259723428,0.03802510259723428,0.5433652285752938
Calothrix sp. NIES-3974,1,0.03772895385117476,0.03772895385117476,0.2382781574493009
Flavobacterium psychrophilum,1,0.035372424870729446,0.035372424870729446,0.10055968338342396
Nocardia seriolae,1,0.034858059138059616,0.034858059138059616,0.59469021938103
Streptomyces sp. RTd22,1,0.03271393105387688,0.03271393105387688,0.4212673190065433
Singulisphaera acidiphila,1,0.03198205661829428,0.03198205661829428,0.462910790684543
Pseudomonas sp. s211(2017),1,0.03134567619594548,0.03134567619594548,0.5095134908503755
Rhodococcus hoagii,1,0.031211625784635544,0.031211625784635544,0.5127557961227998
Marmoricola scoriae,1,0.031137831509113312,0.031137831509113312,0.07404287311518243
Kocuria sp. BT304,1,0.030172350987148874,0.030172350987148874,0.5484337450821756
Conexibacter woesei,1,0.02815740928053856,0.02815740928053856,0.3368823737480049
Rhizobium sp. CCGE532,1,0.027150477222473785,0.027150477222473785,0.5685537128315286
Ensifer adhaerens,1,0.026965390978493427,0.026965390978493427,0.11026257183508976
Pseudomonas sp. B10,1,0.026660557564558693,0.026660557564558693,0.5180096874063411
Enterobacter asburiae,1,0.026481831446290016,0.026481831446290016,0.3304697728152948
Mesorhizobium oceanicum,1,0.02617037668824196,0.02617037668824196,0.0763761151684311
Sideroxydans lithotrophicus,1,0.025448566302657127,0.025448566302657127,0.27468249141607826
Mycobacterium canettii,1,0.02533138543367386,0.02533138543367386,0.4472169480948151
Shewanella sediminis,1,0.025127110377167288,0.025127110377167288,0.5484497735618767
Rahnella sp. Y9602,1,0.0249741567261521,0.0249741567261521,0.21395757105176355
Pseudomonas sp. 7SR1,1,0.024743173271417618,0.024743173271417618,0.524958501042587
Opitutaceae bacterium TAV5,1,0.024671871215105057,0.024671871215105057,0.4653932176750277
Bacillus muralis,1,0.024352988228201866,0.024352988228201866,0.08656429281994386
Terriglobus saanensis,1,0.02395068351468091,0.02395068351468091,0.6391125783747306
Microbacterium sp. BH-3-3-3,1,0.02368454127667207,0.02368454127667207,0.19192264729328934
Raoultella ornithinolytica,1,0.02315873400512314,0.02315873400512314,0.06856129029160203
Microbacterium sp. LKL04,1,0.023066353137751468,0.023066353137751468,0.21100501662606524
Marivirga tractuosa,1,0.022819291800260544,0.022819291800260544,0.5145146625061859
Pseudomonas sp. R11-23-07,1,0.02279891871178044,0.02279891871178044,0.5486165863507393
Burkholderia sp. CCGE1003,1,0.022572413086891174,0.022572413086891174,0.3193072626650674
Paraburkholderia caledonica,1,0.022525301203131676,0.022525301203131676,0.34823208742464734
Pseudomonas azotoformans,1,0.022017167881131172,0.022017167881131172,0.47251678183864393
Lelliottia jeotgali,1,0.021928934380412102,0.021928934380412102,0.13324867809536095
Brachybacterium saurashtrense,1,0.02146339495216181,0.02146339495216181,0.5326995228022602
Lysinimonas sp. 2DFWR-13,1,0.021282631314596404,0.021282631314596404,0.09250035351262138
Pseudomonas sp. DR 5-09,1,0.020940903324974183,0.020940903324974183,0.5213380059016121
Aeromicrobium sp. 592,1,0.02050311677157879,0.02050311677157879,0.48535845518547355
Kosakonia cowanii,1,0.020220525562763214,0.020220525562763214,0.21697720560165304
